# t Rcm_x Rcm_y RMS momentum d_min
2.90000000e-02 -1.37982440e-02 -3.76995802e-02 3.89255878e-01 2.06617619e-01 4.57961147e-03
3.00000000e-02 -1.37963038e-02 -3.76982581e-02 3.85410998e-01 2.06617619e-01 5.27173479e-03
3.10000000e-02 -1.37943635e-02 -3.76969359e-02 3.81469488e-01 2.06617619e-01 3.17771408e-03
3.20000000e-02 -1.37924233e-02 -3.76956137e-02 3.77450449e-01 2.06617619e-01 2.67668438e-03
3.30000000e-02 -1.37904830e-02 -3.76942915e-02 3.73373866e-01 2.06617619e-01 7.59576060e-03
3.40000000e-02 -1.37885427e-02 -3.76929693e-02 3.69242222e-01 2.06617619e-01 5.62816804e-03
3.50000000e-02 -1.37866025e-02 -3.76916472e-02 3.65038684e-01 2.06617619e-01 3.64420371e-03
3.60000000e-02 -1.37846622e-02 -3.76903250e-02 3.60753802e-01 2.06617619e-01 1.66340854e-03
3.70000000e-02 -1.37827220e-02 -3.76890028e-02 3.56394508e-01 2.06617619e-01 6.18536172e-04
3.80000000e-02 -1.37807817e-02 -3.76876806e-02 3.51973420e-01 2.06617619e-01 2.48796234e-03
3.90000000e-02 -1.37788415e-02 -3.76863584e-02 3.47485286e-01 2.06617619e-01 2.18704091e-03
4.00000000e-02 -1.37769012e-02 -3.76850362e-02 3.42914500e-01 2.06617619e-01 2.39017274e-03
4.10000000e-02 -1.37749609e-02 -3.76837141e-02 3.38247035e-01 2.06617619e-01 6.57307136e-03
4.20000000e-02 -1.37730207e-02 -3.76823919e-02 3.33471002e-01 2.06617619e-01 5.85619736e-03
4.30000000e-02 -1.37710804e-02 -3.76810697e-02 3.28580786e-01 2.06617619e-01 4.45372524e-03
4.40000000e-02 -1.37691402e-02 -3.76797475e-02 3.23576073e-01 2.06617619e-01 2.01429603e-03
4.50000000e-02 -1.37671999e-02 -3.76784253e-02 3.18458755e-01 2.06617619e-01 4.55027768e-03
4.60000000e-02 -1.37652597e-02 -3.76771032e-02 3.13228543e-01 2.06617619e-01 6.03689306e-03
4.70000000e-02 -1.37633194e-02 -3.76757810e-02 3.07881593e-01 2.06617619e-01 3.38519316e-03
4.80000000e-02 -1.37613791e-02 -3.76744588e-02 3.02419212e-01 2.06617619e-01 6.42542168e-03
4.90000000e-02 -1.37594389e-02 -3.76731366e-02 2.96851545e-01 2.06617619e-01 5.06580654e-03
5.00000000e-02 -1.37574986e-02 -3.76718144e-02 2.91191962e-01 2.06617619e-01 6.53694885e-03
5.10000000e-02 -1.37555584e-02 -3.76704923e-02 2.85464206e-01 2.06617619e-01 5.18982074e-03
5.20000000e-02 -1.37536181e-02 -3.76691701e-02 2.79716127e-01 2.06617619e-01 1.08676160e-02
5.30000000e-02 -1.37516778e-02 -3.76678479e-02 2.74004308e-01 2.06617619e-01 1.43421731e-03
5.40000000e-02 -1.37497376e-02 -3.76665257e-02 2.68359266e-01 2.06617619e-01 5.87807643e-03
5.50000000e-02 -1.37477973e-02 -3.76652035e-02 2.62805738e-01 2.06617619e-01 5.13040598e-03
5.60000000e-02 -1.37458571e-02 -3.76638813e-02 2.57350669e-01 2.06617619e-01 4.62914925e-03
5.70000000e-02 -1.37439168e-02 -3.76625592e-02 2.51974759e-01 2.06617619e-01 2.97487679e-03
5.80000000e-02 -1.37419766e-02 -3.76612370e-02 2.46663522e-01 2.06617619e-01 4.69892374e-03
5.90000000e-02 -1.37400363e-02 -3.76599148e-02 2.41412824e-01 2.06617619e-01 2.52182008e-03
6.00000000e-02 -1.37380960e-02 -3.76585926e-02 2.36229187e-01 2.06617619e-01 8.81690406e-03
6.10000000e-02 -1.37361558e-02 -3.76572704e-02 2.31120189e-01 2.06617619e-01 2.56787930e-03
6.20000000e-02 -1.37342155e-02 -3.76559483e-02 2.26117948e-01 2.06617619e-01 5.40151855e-03
6.30000000e-02 -1.37322753e-02 -3.76546261e-02 2.21244905e-01 2.06617619e-01 5.44063368e-03
6.40000000e-02 -1.37303350e-02 -3.76533039e-02 2.16484397e-01 2.06617619e-01 3.50565869e-03
6.50000000e-02 -1.37283948e-02 -3.76519817e-02 2.11823766e-01 2.06617619e-01 3.82050449e-03
6.60000000e-02 -1.37264545e-02 -3.76506595e-02 2.07279251e-01 2.06617619e-01 3.57213588e-03
