# t K U E
1.02000000e-01 5.30195452e+03 -1.29235376e+04 -7.62158304e+03
1.03000000e-01 5.06851015e+03 -1.26974465e+04 -7.62893635e+03
1.04000000e-01 4.85148178e+03 -1.24948593e+04 -7.64337752e+03
1.05000000e-01 4.66287383e+03 -1.23195758e+04 -7.65670198e+03
1.06000000e-01 4.50026435e+03 -1.21666486e+04 -7.66638423e+03
1.07000000e-01 4.35325468e+03 -1.20296873e+04 -7.67643259e+03
1.08000000e-01 4.23194657e+03 -1.19310130e+04 -7.69906647e+03
1.09000000e-01 4.15777494e+03 -1.18856206e+04 -7.72784568e+03
1.10000000e-01 4.14137839e+03 -1.18933189e+04 -7.75194053e+03
1.11000000e-01 4.16712945e+03 -1.19232871e+04 -7.75615767e+03
1.12000000e-01 4.19215501e+03 -1.19318210e+04 -7.73966597e+03
1.13000000e-01 4.19498147e+03 -1.19615791e+04 -7.76659759e+03
1.14000000e-01 4.26656449e+03 -1.20710981e+04 -7.80453362e+03
1.15000000e-01 4.40177363e+03 -1.21978182e+04 -7.79604455e+03
1.16000000e-01 4.51043086e+03 -1.22741071e+04 -7.76367622e+03
1.17000000e-01 4.54218555e+03 -1.22411125e+04 -7.69892698e+03
1.18000000e-01 4.43815369e+03 -1.20907241e+04 -7.65257039e+03
1.19000000e-01 4.27196683e+03 -1.19419739e+04 -7.67000710e+03
1.20000000e-01 4.14049440e+03 -1.18163079e+04 -7.67581354e+03
1.21000000e-01 4.01827827e+03 -1.17100450e+04 -7.69176670e+03
1.22000000e-01 3.93140350e+03 -1.16286200e+04 -7.69721652e+03
1.23000000e-01 3.83564118e+03 -1.15090551e+04 -7.67341391e+03
1.24000000e-01 3.70615350e+03 -1.13952417e+04 -7.68908816e+03
1.25000000e-01 3.60589578e+03 -1.12900486e+04 -7.68415278e+03
1.26000000e-01 3.48045981e+03 -1.11336619e+04 -7.65320210e+03
1.27000000e-01 3.30184241e+03 -1.09625571e+04 -7.66071472e+03
1.28000000e-01 3.14896754e+03 -1.08368401e+04 -7.68787260e+03
1.29000000e-01 3.05006706e+03 -1.07661500e+04 -7.71608292e+03
1.30000000e-01 3.00707515e+03 -1.07520139e+04 -7.74493877e+03
1.31000000e-01 3.02189103e+03 -1.07960002e+04 -7.77410917e+03
1.32000000e-01 3.09516039e+03 -1.08933782e+04 -7.79821779e+03
1.33000000e-01 3.21123784e+03 -1.10121970e+04 -7.80095912e+03
1.34000000e-01 3.33003395e+03 -1.11429596e+04 -7.81292566e+03
1.35000000e-01 3.48556330e+03 -1.13289556e+04 -7.84339232e+03
1.36000000e-01 3.69622303e+03 -1.15412241e+04 -7.84500111e+03
1.37000000e-01 3.90106047e+03 -1.17250428e+04 -7.82398233e+03
1.38000000e-01 4.06831899e+03 -1.18952639e+04 -7.82694489e+03
1.39000000e-01 4.24061248e+03 -1.20277339e+04 -7.78712140e+03
1.40000000e-01 4.32164218e+03 -1.20934994e+04 -7.77185726e+03
1.41000000e-01 4.39814018e+03 -1.22084467e+04 -7.81030652e+03
1.42000000e-01 4.55635453e+03 -1.24132173e+04 -7.85686273e+03
1.43000000e-01 4.81104195e+03 -1.27255262e+04 -7.91448427e+03
1.44000000e-01 5.18685197e+03 -1.31612517e+04 -7.97439972e+03
1.45000000e-01 5.67549301e+03 -1.36559782e+04 -7.98048515e+03
1.46000000e-01 6.15576620e+03 -1.41468893e+04 -7.99112306e+03
1.47000000e-01 6.69298629e+03 -1.47542264e+04 -8.06124011e+03
1.48000000e-01 7.41031607e+03 -1.57103167e+04 -8.30000062e+03
1.49000000e-01 8.71313708e+03 -1.74843133e+04 -8.77117625e+03
1.50000000e-01 1.10133340e+04 -1.94972405e+04 -8.48390656e+03
1.51000000e-01 1.16664854e+04 -1.82858916e+04 -6.61940624e+03
1.52000000e-01 9.56827992e+03 -1.64112274e+04 -6.84294746e+03
1.53000000e-01 7.92395022e+03 -1.50024530e+04 -7.07850280e+03
1.54000000e-01 6.75124736e+03 -1.40631520e+04 -7.31190468e+03
1.55000000e-01 6.00871408e+03 -1.34861335e+04 -7.47741942e+03
1.56000000e-01 5.56611600e+03 -1.31360620e+04 -7.56994603e+03
1.57000000e-01 5.28982168e+03 -1.29278105e+04 -7.63798884e+03
1.58000000e-01 5.15375720e+03 -1.28618213e+04 -7.70806412e+03
1.59000000e-01 5.15295542e+03 -1.29035308e+04 -7.75057540e+03
1.60000000e-01 5.22281471e+03 -1.29501890e+04 -7.72737426e+03
1.61000000e-01 5.21754483e+03 -1.28678849e+04 -7.65034003e+03
1.62000000e-01 5.05797840e+03 -1.26052144e+04 -7.54723600e+03
1.63000000e-01 4.69867083e+03 -1.22479449e+04 -7.54927403e+03
1.64000000e-01 4.38194042e+03 -1.20026304e+04 -7.62068997e+03
1.65000000e-01 4.20620608e+03 -1.18934025e+04 -7.68719637e+03
1.66000000e-01 4.15847678e+03 -1.18979146e+04 -7.73943783e+03
1.67000000e-01 4.20966070e+03 -1.19778386e+04 -7.76817786e+03
1.68000000e-01 4.30857610e+03 -1.20672601e+04 -7.75868399e+03
1.69000000e-01 4.37195140e+03 -1.20961685e+04 -7.72421713e+03
1.70000000e-01 4.37533688e+03 -1.20839529e+04 -7.70861602e+03
1.71000000e-01 4.34365937e+03 -1.20088693e+04 -7.66520990e+03
1.72000000e-01 4.21907264e+03 -1.18797668e+04 -7.66069418e+03
1.73000000e-01 4.11781057e+03 -1.18414885e+04 -7.72367797e+03
1.74000000e-01 4.14435449e+03 -1.19200946e+04 -7.77574007e+03
1.75000000e-01 4.26304771e+03 -1.20519021e+04 -7.78885439e+03
1.76000000e-01 4.39429076e+03 -1.21317682e+04 -7.73747747e+03
1.77000000e-01 4.40401838e+03 -1.20964180e+04 -7.69239961e+03
1.78000000e-01 4.35490504e+03 -1.20359751e+04 -7.68107010e+03
1.79000000e-01 4.26293992e+03 -1.19334572e+04 -7.67051725e+03
1.80000000e-01 4.17576659e+03 -1.18428207e+04 -7.66705413e+03
1.81000000e-01 4.03711169e+03 -1.16501238e+04 -7.61301208e+03
1.82000000e-01 3.83381412e+03 -1.14924003e+04 -7.65858622e+03
1.83000000e-01 3.71913408e+03 -1.13812310e+04 -7.66209692e+03
1.84000000e-01 3.58908394e+03 -1.12482601e+04 -7.65917620e+03
1.85000000e-01 3.47302808e+03 -1.11645658e+04 -7.69153773e+03
1.86000000e-01 3.42033278e+03 -1.11366804e+04 -7.71634764e+03
1.87000000e-01 3.41358667e+03 -1.11450972e+04 -7.73151053e+03
1.88000000e-01 3.43129840e+03 -1.11564366e+04 -7.72513822e+03
1.89000000e-01 3.43056617e+03 -1.11476437e+04 -7.71707750e+03
1.90000000e-01 3.42226982e+03 -1.11530515e+04 -7.73078164e+03
1.91000000e-01 3.44688914e+03 -1.11926018e+04 -7.74571262e+03
1.92000000e-01 3.48908440e+03 -1.12182066e+04 -7.72912219e+03
1.93000000e-01 3.50516734e+03 -1.12538969e+04 -7.74872954e+03
1.94000000e-01 3.56936686e+03 -1.13391669e+04 -7.76980004e+03
1.95000000e-01 3.66046314e+03 -1.14036676e+04 -7.74320442e+03
1.96000000e-01 3.69059860e+03 -1.14145617e+04 -7.72396305e+03
1.97000000e-01 3.69842036e+03 -1.14337461e+04 -7.73532578e+03
1.98000000e-01 3.72837595e+03 -1.14621560e+04 -7.73378003e+03
1.99000000e-01 3.74415826e+03 -1.14683227e+04 -7.72416449e+03
